Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY NEXT 50,14/10/2009,17.26,2.78,0.98,9779.45,566.6
NIFTY NEXT 50,12/10/2009,16.9,2.72,1,9575.35,566.59
NIFTY NEXT 50,09/10/2009,16.58,2.67,1.02,9391.7,566.45
NIFTY NEXT 50,08/10/2009,16.65,2.68,1.01,9430.1,566.37
NIFTY NEXT 50,07/10/2009,16.51,2.66,1.02,9359,566.87
NIFTY NEXT 50,06/10/2009,16.35,2.63,1.03,9266.95,566.79
NIFTY NEXT 50,05/10/2009,16.21,2.61,1.04,9203.05,567.74
NIFTY NEXT 50,01/10/2009,16.54,2.66,1.02,9391.05,567.78
NIFTY NEXT 50,30/09/2009,16.48,2.65,1.02,9360.65,568
NIFTY NEXT 50,29/09/2009,16.29,2.62,1.03,9256.55,568.24
NIFTY NEXT 50,25/09/2009,16.21,2.61,1.04,9210.9,568.22
NIFTY NEXT 50,24/09/2009,16.12,2.6,1.04,9163.4,568.45
NIFTY NEXT 50,23/09/2009,16.04,2.58,1.05,9118.55,568.49
NIFTY NEXT 50,22/09/2009,16.23,2.66,1.05,9223.9,568.32
NIFTY NEXT 50,18/09/2009,16.16,2.65,1.06,9186.95,568.5
NIFTY NEXT 50,17/09/2009,15.99,2.62,1.07,9087.6,568.33
NIFTY NEXT 50,16/09/2009,15.92,2.61,1.08,9048.8,568.39
NIFTY NEXT 50,15/09/2009,15.74,2.58,1.09,8946.05,568.36
NIFTY NEXT 50,14/09/2009,15.33,2.52,1.12,8715.4,568.52
NIFTY NEXT 50,11/09/2009,15.22,2.5,1.12,8648.35,568.22
NIFTY NEXT 50,10/09/2009,15.31,2.51,1.12,8701.15,568.33
NIFTY NEXT 50,09/09/2009,15.32,2.51,1.12,8704.75,568.2
NIFTY NEXT 50,08/09/2009,15.29,2.51,1.12,8689.8,568.33
NIFTY NEXT 50,07/09/2009,15.35,2.52,1.12,8722.4,568.23
NIFTY NEXT 50,04/09/2009,14.93,2.45,1.15,8502.55,569.49
NIFTY NEXT 50,03/09/2009,14.76,2.42,1.16,8403.6,569.35
NIFTY NEXT 50,02/09/2009,14.72,2.42,1.16,8381.8,569.42
NIFTY NEXT 50,01/09/2009,14.82,2.43,1.15,8438.5,569.4
NIFTY NEXT 50,31/08/2009,15,2.46,1.14,8542.4,569.49
NIFTY NEXT 50,28/08/2009,15.02,2.46,1.14,8551.25,569.32
NIFTY NEXT 50,27/08/2009,14.89,2.44,1.15,8475.55,569.21
NIFTY NEXT 50,26/08/2009,14.93,2.45,1.15,8500.8,569.38
NIFTY NEXT 50,25/08/2009,14.79,2.43,1.16,8421.4,569.4
NIFTY NEXT 50,24/08/2009,14.78,2.42,1.16,8414.95,569.35
NIFTY NEXT 50,21/08/2009,14.47,2.37,1.18,8239.05,569.39
NIFTY NEXT 50,20/08/2009,14.36,2.36,1.19,8173.9,569.21
