"Date","Price","Open","High","Low","Change %"
"06/19/2001","9.669","9.669","9.669","9.669","-0.55%"
"06/18/2001","9.722","9.722","9.722","9.722","-0.30%"
"06/16/2001","9.751","9.751","9.751","9.751","0.01%"
"06/15/2001","9.750","9.750","9.750","9.750","-0.08%"
"06/14/2001","9.758","9.758","9.758","9.758","-0.02%"
"06/13/2001","9.760","9.760","9.760","9.760","-0.63%"
"06/12/2001","9.822","9.822","9.822","9.822","0.03%"
"06/11/2001","9.819","9.819","9.819","9.819","-0.03%"
"06/09/2001","9.822","9.822","9.822","9.822","-0.69%"
"06/08/2001","9.890","9.890","9.890","9.890","-0.28%"
"06/07/2001","9.918","9.918","9.918","9.918","0.33%"
"06/06/2001","9.885","9.885","9.885","9.885","-0.46%"
"06/05/2001","9.931","9.931","9.931","9.931","0.02%"
"06/04/2001","9.929","9.929","9.929","9.929","0.77%"
"06/02/2001","9.853","9.853","9.853","9.853","0.50%"
"06/01/2001","9.804","9.804","9.804","9.804","0.43%"
"05/31/2001","9.762","9.762","9.762","9.762","-0.25%"
"05/30/2001","9.786","9.786","9.786","9.786","-0.26%"
"05/29/2001","9.812","9.812","9.812","9.812","0.00%"
"05/28/2001","9.812","9.812","9.812","9.812","-0.66%"
"05/26/2001","9.877","9.877","9.877","9.877","-0.40%"
"05/25/2001","9.917","9.917","9.917","9.917","-0.30%"
"05/24/2001","9.947","9.947","9.947","9.947","-0.20%"
"05/23/2001","9.967","9.967","9.967","9.967","-0.09%"
"05/22/2001","9.976","9.976","9.976","9.976","0.10%"
"05/21/2001","9.966","9.966","9.966","9.966","0.09%"
"05/19/2001","9.957","9.957","9.957","9.957","0.02%"
"05/18/2001","9.955","9.955","9.955","9.955","0.10%"
"05/17/2001","9.945","9.945","9.945","9.945","-0.35%"
"05/16/2001","9.980","9.980","9.980","9.980","-0.51%"
"05/15/2001","10.031","10.031","10.031","10.031","-0.16%"
"05/14/2001","10.047","10.047","10.047","10.047","0.03%"
"05/12/2001","10.044","10.044","10.044","10.044","0.11%"
"05/11/2001","10.033","10.033","10.033","10.033","-0.31%"
"05/10/2001","10.064","10.064","10.064","10.064","-0.32%"
"05/09/2001","10.096","10.096","10.096","10.096","-0.11%"
